 GENERATE IDEAL TEXTURE FOR VPSC
 DMEAN=  0.0000000E+00   DSIGAM=   10.00000    
 euler angle in Bunge   35.00000       45.00000       90.00000    
 B           8000
   37.01797       41.96706       87.26465     1.0
  -33.18609       48.06489      -269.9778     1.0
   213.1861       48.06489       89.97777     1.0
   142.9820       41.96706      -267.2646     1.0
   32.80089       41.65204      -265.3118     1.0
  -36.95480       48.38549       88.25385     1.0
   216.9548       48.38549      -268.2538     1.0
   147.1991       41.65204       85.31184     1.0
   31.76229       42.43349       85.06528     1.0
  -37.95570       47.65007      -260.6824     1.0
   217.9557       47.65007       80.68239     1.0
   148.2377       42.43349      -265.0653     1.0
   32.38759       42.60908      -266.1073     1.0
  -37.40074       47.44567       89.65474     1.0
   217.4008       47.44567      -269.6547     1.0
   147.6124       42.60908       86.10732     1.0
   17.98260       35.82000      -244.4325     1.0
  -46.92726       55.97071       85.11180     1.0
   226.9273       55.97071      -265.1118     1.0
   162.0174       35.82000       64.43254     1.0
   35.56152       47.64581       86.93498     1.0
  -34.38409       42.35722      -267.7684     1.0
   214.3841       42.35722       87.76842     1.0
   144.4385       47.64581      -266.9350     1.0
   23.92980       39.19783       86.77983     1.0
  -43.89960       51.66633      -252.6108     1.0
   223.8996       51.66633       72.61076     1.0
   156.0702       39.19783      -266.7798     1.0
   54.12737       35.38550       65.18454     1.0
  -21.89834       56.83133      -268.2293     1.0
   201.8983       56.83133       88.22934     1.0
   125.8726       35.38550      -245.1845     1.0
   23.50262       38.12684      -256.5121     1.0
  -43.89128       52.77004      -268.9903     1.0
   223.8913       52.77004       88.99033     1.0
   156.4974       38.12684       76.51210     1.0
   47.32185       37.65794       77.70308     1.0
  -25.64809       53.35377       86.87189     1.0
   205.6481       53.35377      -266.8719     1.0
   132.6781       37.65794      -257.7031     1.0
   36.24518       46.25627       89.33841     1.0
  -33.69931       43.75785       88.86102     1.0
   213.6993       43.75785      -268.8610     1.0
   143.7548       46.25627      -269.3384     1.0
   38.87103       42.78397       84.15591     1.0
  -31.42477       47.33689      -269.4235     1.0
   211.4248       47.33689       89.42351     1.0
   141.1290       42.78397      -264.1559     1.0
   39.38100       43.64320       83.25589     1.0
  -30.83316       46.51625      -269.2992     1.0
   210.8332       46.51625       89.29922     1.0
   140.6190       43.64320      -263.2559     1.0
   20.01684       52.75959      -264.2996     1.0
  -53.78363       39.73249      -251.8428     1.0
   233.7836       39.73249       71.84282     1.0
   159.9832       52.75959       84.29961     1.0
   38.54116       42.55798       86.86992     1.0
  -31.75406       47.54239       88.32774     1.0
   211.7541       47.54239      -268.3278     1.0
   141.4588       42.55798      -266.8699     1.0
   43.33504       52.91150       76.31741     1.0
  -24.14511       37.88179      -269.9727     1.0
   204.1451       37.88179       89.97272     1.0
   136.6650       52.91150      -256.3174     1.0
   26.53431       48.88979      -254.8345     1.0
  -44.57550       41.82055       87.58940     1.0
   224.5755       41.82055      -267.5894     1.0
   153.4657       48.88979       74.83446     1.0
   35.19587       45.06341       89.68297     1.0
  -34.80369       44.93693      -269.9603     1.0
   214.8037       44.93693       89.96027     1.0
   144.8041       45.06341      -269.6830     1.0
   17.94340       39.16763      -255.9493     1.0
  -48.43866       52.85666      -262.4604     1.0
   228.4387       52.85666       82.46039     1.0
   162.0566       39.16763       75.94933     1.0
   41.82407       45.88324       89.44836     1.0
  -28.01367       44.53381       80.79738     1.0
   208.0137       44.53381      -260.7974     1.0
   138.1759       45.88324      -269.4484     1.0
   43.30918       51.76186      -266.6599     1.0
  -24.60777       38.99507       73.38277     1.0
   204.6078       38.99507      -253.3828     1.0
   136.6908       51.76186       86.65985     1.0
   44.35154       52.21078       76.44183     1.0
  -23.16412       38.76070       88.51524     1.0
   203.1642       38.76070      -268.5153     1.0
   135.6485       52.21078      -256.4418     1.0
   26.85721       40.55069       89.28450     1.0
  -41.90993       49.94173      -258.6201     1.0
   221.9099       49.94173       78.62007     1.0
   153.1428       40.55069      -269.2845     1.0
   32.17316       53.36272      -262.8916     1.0
  -38.79408       36.73092       87.62173     1.0
   218.7941       36.73092      -267.6217     1.0
   147.8268       53.36272       82.89157     1.0
   33.71830       44.16920      -264.5727     1.0
  -36.24476       45.84472       86.35931     1.0
   216.2448       45.84472      -266.3593     1.0
   146.2817       44.16920       84.57271     1.0
   33.88835       45.34069      -268.4417     1.0
  -36.12473       44.67022      -269.9769     1.0
   216.1247       44.67022       89.97691     1.0
   146.1116       45.34069       88.44171     1.0
   35.75635       44.78448      -269.5858     1.0
  -34.24937       45.22047       88.52026     1.0
   214.2494       45.22047      -268.5203     1.0
   144.2437       44.78448       89.58583     1.0
   32.17247       50.07409      -265.5460     1.0
  -38.37331       40.00919       89.94658     1.0
   218.3733       40.00919      -269.9466     1.0
   147.8275       50.07409       85.54601     1.0
   42.84931       48.49520       77.25740     1.0
  -26.22640       42.10789      -269.0092     1.0
   206.2264       42.10789       89.00920     1.0
   137.1507       48.49520      -257.2574     1.0
   36.93784       45.39597       85.36380     1.0
  -33.03634       44.63725      -268.1224     1.0
   213.0363       44.63725       88.12238     1.0
   143.0622       45.39597      -265.3638     1.0
   44.18184       42.26945      -268.6963     1.0
  -26.74733       48.39436       76.37444     1.0
   206.7473       48.39436      -256.3745     1.0
   135.8182       42.26945       88.69627     1.0
   34.47741       45.94630      -269.0526     1.0
  -35.54012       44.05616       89.80417     1.0
   215.5401       44.05616      -269.8042     1.0
   145.5226       45.94630       89.05261     1.0
   36.40498       39.63457      -264.9882     1.0
  -33.83654       50.37970       83.16415     1.0
   213.8365       50.37970      -263.1642     1.0
   143.5950       39.63457       84.98824     1.0
   27.98360       40.32017      -260.2737     1.0
  -40.91858       50.04300       89.44347     1.0
   220.9186       50.04300      -269.4435     1.0
   152.0164       40.32017       80.27371     1.0
   39.86676       53.31735      -267.5186     1.0
  -28.50245       36.95907       79.40680     1.0
   208.5025       36.95907      -259.4068     1.0
   140.1332       53.31735       87.51863     1.0
   30.77600       48.77347      -263.9553     1.0
  -39.80486       41.40382      -269.6504     1.0
   219.8049       41.40382       89.65041     1.0
   149.2240       48.77347       83.95528     1.0
   35.92250       41.68563      -265.3124     1.0
  -34.17859       48.32098       84.07721     1.0
   214.1786       48.32098      -264.0772     1.0
   144.0775       41.68563       85.31238     1.0
   16.78915       30.79146      -253.3742     1.0
  -45.54951       60.90400      -265.6700     1.0
   225.5495       60.90400       85.66998     1.0
   163.2108       30.79146       73.37418     1.0
   33.16821       43.23269      -268.1339     1.0
  -36.72131       46.79483      -269.3526     1.0
   216.7213       46.79483       89.35260     1.0
   146.8318       43.23269       88.13393     1.0
   38.87232       52.41702       82.79083     1.0
  -29.98526       37.75261      -269.1236     1.0
   209.9853       37.75261       89.12361     1.0
   141.1277       52.41702      -262.7908     1.0
   35.70503       45.34583       88.46588     1.0
  -34.28647       44.65856      -269.4690     1.0
   214.2865       44.65856       89.46898     1.0
   144.2950       45.34583      -268.4659     1.0
   37.65047       42.82013       81.30896     1.0
  -32.54628       47.23663      -264.9202     1.0
   212.5463       47.23663       84.92023     1.0
   142.3495       42.82013      -261.3090     1.0
   36.71380       43.19362       89.10771     1.0
  -33.39164       46.83044       88.54216     1.0
   213.3917       46.83044      -268.5422     1.0
   143.2862       43.19362      -269.1077     1.0
   42.20188       49.33807       80.87923     1.0
  -26.69647       41.18539       88.14571     1.0
   206.6965       41.18539      -268.1457     1.0
   137.7981       49.33807      -260.8792     1.0
   38.36139       50.93545       89.30560     1.0
  -30.86813       39.18584       85.36978     1.0
   210.8681       39.18584      -265.3698     1.0
   141.6386       50.93545      -269.3056     1.0
   32.53348       45.80589      -269.0164     1.0
  -37.53446       44.24868      -267.4477     1.0
   217.5345       44.24868       87.44768     1.0
   147.4665       45.80589       89.01634     1.0
   36.74698       42.28489      -269.8248     1.0
  -33.41187       47.73933       87.46404     1.0
   213.4119       47.73933      -267.4641     1.0
   143.2530       42.28489       89.82481     1.0
   35.44670       44.56542       89.33577     1.0
  -34.56002       45.43629      -269.9628     1.0
   214.5600       45.43629       89.96275     1.0
   144.5533       44.56542      -269.3358     1.0
   31.46412       38.70132      -267.0515     1.0
  -37.82880       51.38601      -268.4214     1.0
   217.8288       51.38601       88.42139     1.0
   148.5359       38.70132       87.05151     1.0
   21.38410       51.00748      -260.7169     1.0
  -51.21373       40.94101      -258.2288     1.0
   231.2137       40.94101       78.22879     1.0
   158.6159       51.00748       80.71687     1.0
   30.94772       40.01856      -265.6641     1.0
  -38.39568       50.10161      -269.0508     1.0
   218.3957       50.10161       89.05077     1.0
   149.0523       40.01856       85.66414     1.0
   30.39041       39.52306      -266.8636     1.0
  -38.79330       50.62967      -267.1692     1.0
   218.7933       50.62967       87.16919     1.0
   149.6096       39.52306       86.86366     1.0
   45.46494       54.69796       81.46504     1.0
  -20.61316       36.62647       80.80983     1.0
   200.6132       36.62647      -260.8098     1.0
   134.5351       54.69796      -261.4650     1.0
   42.01066       40.62163      -268.8581     1.0
  -29.02331       49.74481       79.65526     1.0
   209.0233       49.74481      -259.6553     1.0
   137.9893       40.62163       88.85806     1.0
   49.98406       36.08186       85.55190     1.0
  -24.32982       55.32538       76.12430     1.0
   204.3298       55.32538      -256.1243     1.0
   130.0159       36.08186      -265.5519     1.0
   38.94073       38.81303      -269.9389     1.0
  -31.83581       51.29586       84.88664     1.0
   211.8358       51.29586      -264.8867     1.0
   141.0593       38.81303       89.93893     1.0
   49.22715       46.97934       87.13840     1.0
  -20.24549       44.87207       72.47545     1.0
   200.2455       44.87207      -252.4754     1.0
   130.7729       46.97934      -267.1384     1.0
   29.85552       43.53090      -256.7245     1.0
  -39.86888       46.68796       83.80319     1.0
   219.8689       46.68796      -263.8032     1.0
   150.1445       43.53090       76.72449     1.0
   36.85934       57.71965      -268.9830     1.0
  -32.05967       32.32807       85.50459     1.0
   212.0597       32.32807      -265.5046     1.0
   143.1407       57.71965       88.98302     1.0
   26.09504       44.69527      -266.0735     1.0
  -43.70764       45.98407      -261.4963     1.0
   223.7076       45.98407       81.49632     1.0
   153.9050       44.69527       86.07349     1.0
   42.03679       47.63924       89.92816     1.0
  -27.34831       42.83193       79.69061     1.0
   207.3483       42.83193      -259.6906     1.0
   137.9632       47.63924      -269.9282     1.0
   33.87074       44.78696      -269.2881     1.0
  -36.12067       45.22408      -269.1210     1.0
   216.1207       45.22408       89.12100     1.0
   146.1293       44.78696       89.28807     1.0
   38.63366       44.75948       88.31770     1.0
  -31.40386       45.35462       86.57166     1.0
   211.4039       45.35462      -266.5717     1.0
   141.3663       44.75948      -268.3177     1.0
   34.27826       43.30439      -269.7476     1.0
  -35.68018       46.69989      -269.2607     1.0
   215.6802       46.69989       89.26065     1.0
   145.7217       43.30439       89.74759     1.0
   32.76458       53.67450       80.26256     1.0
  -38.03670       36.38476      -256.4924     1.0
   218.0367       36.38476       76.49240     1.0
   147.2354       53.67450      -260.2626     1.0
   49.21438       57.05308       84.87898     1.0
  -14.24915       35.56243       70.14705     1.0
   194.2491       35.56243      -250.1470     1.0
   130.7856       57.05308      -264.8790     1.0
   28.95000       52.38004      -264.2071     1.0
  -42.78754       38.03213      -265.9429     1.0
   222.7876       38.03213       85.94289     1.0
   151.0500       52.38004       84.20711     1.0
   29.59513       49.77779       89.96561     1.0
  -41.35510       40.52249      -261.6301     1.0
   221.3551       40.52249       81.63014     1.0
   150.4049       49.77779      -269.9656     1.0
   49.56250       43.48338       68.87213     1.0
  -21.58743       48.23808      -268.5714     1.0
   201.5874       48.23808       88.57133     1.0
   130.4375       43.48338      -248.8721     1.0
   25.26022       51.55914      -261.3455     1.0
  -47.03152       39.46971      -263.2201     1.0
   227.0315       39.46971       83.22012     1.0
   154.7398       51.55914       81.34549     1.0
   33.32732       45.70470      -267.8370     1.0
  -36.71358       44.32032      -269.7685     1.0
   216.7136       44.32032       89.76848     1.0
   146.6727       45.70470       87.83705     1.0
   33.65036       45.05724      -268.6023     1.0
  -36.35195       44.95869      -269.4875     1.0
   216.3520       44.95869       89.48749     1.0
   146.3496       45.05724       88.60226     1.0
   25.73186       52.75562      -260.4888     1.0
  -46.96078       38.21739      -264.4213     1.0
   226.9608       38.21739       84.42134     1.0
   154.2681       52.75562       80.48877     1.0
   41.01831       50.67514       80.18028     1.0
  -27.70670       39.70877      -269.6257     1.0
   207.7067       39.70877       89.62570     1.0
   138.9817       50.67514      -260.1803     1.0
   20.38518       29.88902      -265.4177     1.0
  -43.25185       61.17095      -257.8431     1.0
   223.2518       61.17095       77.84306     1.0
   159.6148       29.88902       85.41772     1.0
   34.73999       45.19139      -269.8289     1.0
  -35.26175       44.80921      -269.8021     1.0
   215.2617       44.80921       89.80209     1.0
   145.2600       45.19139       89.82893     1.0
   25.03672       51.19125       79.49997     1.0
  -47.14058       39.87093      -243.8421     1.0
   227.1406       39.87093       63.84215     1.0
   154.9633       51.19125      -259.5000     1.0
   36.59742       45.99317       85.09584     1.0
  -33.34688       44.02988      -267.3945     1.0
   213.3469       44.02988       87.39450     1.0
   143.4026       45.99317      -265.0958     1.0
   37.76934       49.04751      -260.1565     1.0
