 GENERATE IDEAL TEXTURE FOR VPSC
 DMEAN=  0.0000000E+00   DSIGAM=   10.00000    
 euler angle in Bunge   90.00000       35.00000       45.00000    
 B           8000
   79.61931       37.76192       54.08368     1.0
   258.3856       33.23603      -216.0889     1.0
  -78.38557       33.23603       36.08893     1.0
   100.3807       37.76192      -234.0837     1.0
   72.91290       48.81564       44.26733     1.0
   239.3206       25.68299      -184.6929     1.0
  -59.32056       25.68299       4.692879     1.0
   107.0871       48.81564      -224.2673     1.0
   97.97517       24.82728       41.83669     1.0
  -85.31342       45.48019      -232.3727     1.0
   265.3134       45.48019       52.37274     1.0
   82.02483       24.82728      -221.8367     1.0
   88.93660       40.96622       42.37134     1.0
   268.5640       29.04632      -220.3129     1.0
  -88.56398       29.04632       40.31287     1.0
   91.06340       40.96622      -222.3713     1.0
   95.03393       29.87634       43.78392     1.0
  -86.12383       40.28392      -231.1104     1.0
   266.1238       40.28392       51.11044     1.0
   84.96607       29.87634      -223.7839     1.0
   93.72350       35.93459       39.47691     1.0
  -86.11053       34.18431      -225.7123     1.0
   266.1105       34.18431       45.71230     1.0
   86.27650       35.93459      -219.4769     1.0
   91.94871       34.86715       42.74277     1.0
  -88.06564       35.16377      -225.9234     1.0
   268.0656       35.16377       45.92340     1.0
   88.05129       34.86715      -222.7428     1.0
   93.02682       37.39348       41.44762     1.0
  -86.59628       32.69108      -226.7187     1.0
   266.5963       32.69108       46.71872     1.0
   86.97318       37.39348      -221.4476     1.0
   106.3743       35.10585       34.44693     1.0
  -74.38411       37.03272      -240.5413     1.0
   254.3841       37.03272       60.54128     1.0
   73.62575       35.10585      -214.4469     1.0
   99.45121       33.99396       36.65368     1.0
  -81.16205       36.69545      -231.6184     1.0
   261.1620       36.69545       51.61839     1.0
   80.54879       33.99396      -216.6537     1.0
   90.96021       36.26788       45.52454     1.0
  -88.97733       33.74018      -227.1492     1.0
   268.9773       33.74018       47.14917     1.0
   89.03979       36.26788      -225.5245     1.0
   93.07717       35.82350       40.56476     1.0
  -86.80035       34.25731      -225.7060     1.0
   266.8004       34.25731       45.70604     1.0
   86.92283       35.82350      -220.5648     1.0
   94.46146       44.42298       53.88960     1.0
  -82.82385       25.84027      -243.5441     1.0
   262.8239       25.84027       63.54413     1.0
   85.53854       44.42298      -233.8896     1.0
   89.53391       35.11871       45.63052     1.0
   269.5312       34.88309      -224.8647     1.0
  -89.53114       34.88309       44.86470     1.0
   90.46609       35.11871      -225.6305     1.0
   70.92455       20.45240       75.19733     1.0
   261.5370       50.89188      -231.8831     1.0
  -81.53700       50.89188       51.88306     1.0
   109.0754       20.45240      -255.1973     1.0
   90.82319       28.79957       45.88699     1.0
  -89.39799       41.20450      -227.0613     1.0
   269.3980       41.20450       47.06129     1.0
   89.17681       28.79957      -225.8870     1.0
   68.93790       32.56969       58.95851     1.0
   252.6727       40.50958      -207.6338     1.0
  -72.67267       40.50958       27.63376     1.0
   111.0621       32.56969      -238.9585     1.0
   89.93134       34.71499       44.91814     1.0
   269.9323       35.28505      -224.8064     1.0
  -89.93230       35.28505       44.80643     1.0
   90.06866       34.71499      -224.9181     1.0
   91.09454       34.03103       43.04915     1.0
  -88.95732       35.97833      -224.8001     1.0
   268.9573       35.97833       44.80006     1.0
   88.90546       34.03103      -223.0491     1.0
   80.30965       36.13651       51.85864     1.0
   259.9502       34.66812      -215.7136     1.0
  -79.95016       34.66812       35.71361     1.0
   99.69035       36.13651      -231.8586     1.0
   103.9015       32.61869       38.67262     1.0
  -78.06148       38.75991      -239.8105     1.0
   258.0615       38.75991       59.81047     1.0
   76.09848       32.61869      -218.6726     1.0
   85.97591       37.58916       52.03397     1.0
   265.4381       32.56159      -224.9961     1.0
  -85.43806       32.56159       44.99611     1.0
   94.02409       37.58916      -232.0340     1.0
   91.09809       38.20187       41.15385     1.0
  -88.71159       31.80973      -223.1117     1.0
   268.7116       31.80973       43.11174     1.0
   88.90191       38.20187      -221.1539     1.0
   104.9002       29.55911       34.01424     1.0
  -79.02861       41.79897      -235.2696     1.0
   259.0286       41.79897       55.26956     1.0
   75.09976       29.55911      -214.0142     1.0
   88.45114       34.19194       48.42908     1.0
   268.5130       35.82696      -225.9421     1.0
  -88.51300       35.82696       45.94209     1.0
   91.54886       34.19194      -228.4291     1.0
   92.99113       34.64069       42.14574     1.0
  -87.06720       35.43131      -226.9977     1.0
   267.0672       35.43131       46.99771     1.0
   87.00887       34.64069      -222.1457     1.0
   88.04517       34.67752       46.52742     1.0
   268.0778       35.35331      -223.3517     1.0
  -88.07780       35.35331       43.35168     1.0
   91.95483       34.67752      -226.5274     1.0
   88.44572       33.85352       44.21922     1.0
   268.5328       36.16520      -221.7438     1.0
  -88.53278       36.16520       41.74376     1.0
   91.55428       33.85352      -224.2192     1.0
   88.97566       34.84539       45.67441     1.0
   268.9837       35.16315      -224.0029     1.0
  -88.98373       35.16315       44.00287     1.0
   91.02434       34.84539      -225.6744     1.0
   84.28191       52.29545       42.66876     1.0
   255.5296       18.38875      -205.4040     1.0
  -75.52957       18.38875       25.40401     1.0
   95.71809       52.29545      -222.6688     1.0
   93.65481       30.07880       42.86197     1.0
  -87.15143       40.00665      -228.2083     1.0
   267.1514       40.00665       48.20834     1.0
