 GENERATE IDEAL TEXTURE FOR VPSC
 DMEAN=  0.0000000E+00   DSIGAM=   10.00000    
 euler angle in Bunge  0.0000000E+00  0.0000000E+00  0.0000000E+00
 B          80000
   220.5047       1.992821      -221.2833     1.0
  -40.50475       1.992821      -138.7167     1.0
   220.5047       1.992821      -41.28332     1.0
  -40.50475       1.992821       41.28333     1.0
   90.19955      0.1769387      -90.00000     1.0
   269.8004      0.1769387      -90.00000     1.0
  -89.80043      0.1769387      -90.00000     1.0
   89.80045      0.1769387      -90.00000     1.0
   3.209190       2.572833      -1.198402     1.0
   176.7908       2.572833       1.198395     1.0
   3.209198       2.572833      -181.1984     1.0
   176.7908       2.572833      -178.8016     1.0
   231.8217       19.11029      -230.7154     1.0
  -51.82175       19.11029      -129.2846     1.0
   231.8218       19.11029      -50.71541     1.0
  -51.82175       19.11029       50.71541     1.0
  -25.15805       7.117999       21.51753     1.0
   205.1581       7.117999      -21.51755     1.0
  -25.15805       7.117999      -158.4825     1.0
   205.1581       7.117999      -201.5175     1.0
   200.4185       9.334667      -202.6385     1.0
  -20.41852       9.334667      -157.3615     1.0
   200.4185       9.334667      -22.63850     1.0
  -20.41852       9.334667       22.63850     1.0
   249.4527       10.22999      -247.9738     1.0
  -69.45265       10.22999      -112.0262     1.0
   249.4527       10.22999      -67.97380     1.0
  -69.45265       10.22999       67.97380     1.0
   224.6508       4.727540      -222.4795     1.0
  -44.65082       4.727540      -137.5205     1.0
   224.6508       4.727540      -42.47948     1.0
  -44.65082       4.727540       42.47948     1.0
   133.2986       6.114556      -130.6734     1.0
   46.70139       6.114556      -229.3266     1.0
   133.2986       6.114556       49.32655     1.0
   46.70139       6.114556      -49.32656     1.0
   44.97094       18.02766      -31.58642     1.0
   135.0291       18.02766       31.58641     1.0
   44.97094       18.02766      -211.5864     1.0
   135.0291       18.02766      -148.4136     1.0
   105.1528       7.146715      -106.8018     1.0
   74.84717       7.146715      -253.1982     1.0
   105.1528       7.146715       73.19818     1.0
   74.84717       7.146715      -73.19818     1.0
  -29.39692       4.649494       14.87652     1.0
   209.3969       4.649494      -14.87651     1.0
  -29.39691       4.649494      -165.1235     1.0
   209.3969       4.649494      -194.8765     1.0
   186.1684       9.149095      -187.7127     1.0
  -6.168388       9.149095      -172.2873     1.0
   186.1684       9.149095      -7.712746     1.0
  -6.168388       9.149095       7.712746     1.0
   183.5945       4.539542      -184.5705     1.0
  -3.594528       4.539542      -175.4295     1.0
   183.5945       4.539542      -4.570457     1.0
  -3.594528       4.539542       4.570457     1.0
  -32.64172       15.38460       36.53999     1.0
