 GENERATE IDEAL TEXTURE FOR VPSC
 DMEAN=  0.0000000E+00   DSIGAM=   10.00000    
 euler angle in Bunge   90.00000       90.00000       45.00000    
 B          80000
   92.14459       80.78910       58.79973     1.0
  -87.85541       99.21090      -238.7997     1.0
   267.8554       99.21090       58.79973     1.0
   87.85541       80.78910      -238.7997     1.0
   96.58826       89.98335       44.75238     1.0
  -83.41174       90.01665      -224.7524     1.0
   263.4117       90.01665       44.75238     1.0
   83.41174       89.98335      -224.7524     1.0
   86.11564       103.4259       32.06637     1.0
   266.1157       76.57409      -212.0664     1.0
  -86.11563       76.57409       32.06637     1.0
   93.88436       103.4259      -212.0664     1.0
   89.48754       89.81954       44.59143     1.0
   269.4875       90.18046      -224.5914     1.0
  -89.48753       90.18046       44.59143     1.0
   90.51246       89.81954      -224.5914     1.0
   79.90384       105.4593       52.49164     1.0
   259.9038       74.54070      -232.4916     1.0
  -79.90384       74.54070       52.49164     1.0
   100.0962       105.4593      -232.4916     1.0
   99.29187       103.5741       49.44077     1.0
  -80.70810       76.42592      -229.4408     1.0
   260.7081       76.42592       49.44077     1.0
   80.70813       103.5741      -229.4408     1.0
   89.61726       91.82873       43.54076     1.0
   269.6172       88.17127      -223.5408     1.0
  -89.61725       88.17127       43.54076     1.0
   90.38274       91.82873      -223.5408     1.0
   80.78255       90.83482       54.81964     1.0
   260.7826       89.16518      -234.8196     1.0
  -80.78256       89.16518       54.81964     1.0
   99.21745       90.83482      -234.8196     1.0
   87.53094       93.10814       57.74022     1.0
   267.5309       86.89186      -237.7402     1.0
  -87.53093       86.89186       57.74022     1.0
   92.46906       93.10814      -237.7402     1.0
   90.81573       86.56272       47.34923     1.0
  -89.18428       93.43728      -227.3492     1.0
   269.1843       93.43728       47.34923     1.0
   89.18427       86.56272      -227.3492     1.0
   84.08263       82.29949       46.26389     1.0
   264.0826       97.70051      -226.2639     1.0
  -84.08263       97.70051       46.26389     1.0
   95.91737       82.29949      -226.2639     1.0
   82.87128       86.68018       44.30962     1.0
   262.8713       93.31982      -224.3096     1.0
  -82.87128       93.31982       44.30962     1.0
   97.12872       86.68018      -224.3096     1.0
   93.68895       91.75637       39.11252     1.0
  -86.31104       88.24363      -219.1125     1.0
