 GENERATE IDEAL TEXTURE FOR VPSC
 DMEAN=  0.0000000E+00   DSIGAM=   10.00000    
 euler angle in Bunge   53.00000       75.00000       34.00000    
 B           8000
   38.17688       79.77097       35.32819     1.0
  -68.42175       71.22300      -207.5633     1.0
   248.4218       71.22300       27.56329     1.0
   141.8231       79.77097      -215.3282     1.0
   53.66339       74.41369       34.78453     1.0
  -52.34023       75.58822      -215.1270     1.0
   232.3403       75.58822       35.12701     1.0
   126.3366       74.41369      -214.7845     1.0
   46.57231       68.45692       33.42870     1.0
  -59.04025       81.71240      -210.1860     1.0
   239.0403       81.71240       30.18601     1.0
   133.4277       68.45692      -213.4287     1.0
   53.82471       67.15894       26.24158     1.0
  -52.23398       82.84382      -206.6572     1.0
   232.2340       82.84382       26.65717     1.0
   126.1753       67.15894      -206.2416     1.0
   52.97478       73.60280       36.66541     1.0
  -53.02487       76.39721      -216.6524     1.0
   233.0249       76.39721       36.65243     1.0
   127.0252       73.60280      -216.6654     1.0
   67.72412       76.43793       28.86428     1.0
  -38.14420       74.51330      -216.4420     1.0
   218.1442       74.51330       36.44196     1.0
   112.2759       76.43793      -208.8643     1.0
   66.26202       61.15535       8.325356     1.0
  -41.40747       89.51394      -194.9120     1.0
   221.4075       89.51394       14.91204     1.0
   113.7380       61.15535      -188.3253     1.0
   51.12788       74.00362       35.22472     1.0
  -54.85461       76.01153      -214.2602     1.0
   234.8546       76.01153       34.26018     1.0
   128.8721       74.00362      -215.2247     1.0
   55.64378       85.71660       52.94247     1.0
  -50.07434       64.31715      -234.4089     1.0
   230.0744       64.31715       54.40891     1.0
   124.3562       85.71660      -232.9425     1.0
   51.44425       85.57165       40.30255     1.0
  -54.71941       64.44003      -219.4404     1.0
   234.7194       64.44003       39.44035     1.0
   128.5558       85.57165      -220.3026     1.0
   46.51735       77.48625       38.41298     1.0
  -59.62910       72.70116      -215.0233     1.0
   239.6291       72.70116       35.02335     1.0
   133.4827       77.48625      -218.4130     1.0
   52.83458       75.08926       34.05838     1.0
  -53.16553       74.91087      -213.9727     1.0
   233.1656       74.91087       33.97271     1.0
   127.1654       75.08926      -214.0584     1.0
   58.24335       89.27627       26.12807     1.0
  -46.99475       60.86106      -209.1268     1.0
   226.9948       60.86106       29.12679     1.0
   121.7566       89.27627      -206.1281     1.0
   49.06955       72.15903       40.03708     1.0
  -56.82617       77.90658      -218.0284     1.0
   236.8262       77.90658       38.02843     1.0
   130.9305       72.15903      -220.0371     1.0
   54.36142       75.01883       35.38515     1.0
  -51.63837       74.98927      -216.0898     1.0
   231.6384       74.98927       36.08985     1.0
   125.6386       75.01883      -215.3851     1.0
   52.14420       75.65766       34.22269     1.0
  -53.86105       74.34556      -213.7783     1.0
   233.8611       74.34556       33.77831     1.0
   127.8558       75.65766      -214.2227     1.0
   46.76371       84.20705       42.78024     1.0
  -59.79527       65.97775      -219.3711     1.0
   239.7953       65.97775       39.37114     1.0
   133.2363       84.20705      -222.7802     1.0
   51.97171       68.73911       17.70110     1.0
  -53.96953       81.26524      -197.1809     1.0
   233.9696       81.26524       17.18095     1.0
   128.0283       68.73911      -197.7011     1.0
   46.75708       67.41167       18.16295     1.0
  -58.80896       82.74649      -195.0210     1.0
